City,State,IATA
Atlanta,GA,ATL
Austin,TX,AUS
Bismarck,ND,BIS
Bozeman,MT,BZN
CedarRapids,IA,CID
Charlotte,NC,CLT
Chicago,IL,ORD
Cincinnati,OH,CVG
Cleveland,OH,CLE
ColoradoSprings,CO,COS
Columbus,OH,CMH
Dallas,TX,DFW
Denver,CO,DEN
DesMoines,IA,DSM
Detroit,MI,DTW
FortLauderdale,FL,FLL
FortMyers,FL,RSW
Greensboro/HighPoint,NC,GSO
Houston,TX,IAH
Indianapolis,IN,IND
KansasCity,MO,MCI
Knoxville,TN,TYS
LasVegas,NV,LAS
LosAngeles,CA,LAX
Madison,WI,MSN
Memphis,TN,MEM
Miami,FL,MIA
Milwaukee,WI,MKE
Minneapolis,MN,MSP
Missoula,MT,MSO
Nashville,TN,BNA
NewOrleans,LA,MSY
NewYork,NY,LGA
Omaha,NE,OMA
Orlando,FL,MCO
Philadelphia,PA,PHL
Phoenix,AZ,PHX
Pittsburgh,PA,PIT
Portland,OR,PDX
Raleigh/Durham,NC,RDU
SaintAugustine,FL,UST
SaintLouis,MO,STL
SaltLakeCity,UT,SLC
SanAntonio,TX,SAT
SanDiego,CA,SAN
SanFrancisco,CA,SFO
SantaAna,CA,SNA
Seattle,WA,SEA
SiouxFalls,SD,FSD
Tampa,FL,TPA
Trenton,NJ,TTN
Washington,DC,DCA
Washington,DC,IAD
WestPalmBeach,FL,PBI
